cell,arc,metric,transition_type,slew_ns,load_pf,ref0_value_ns,ref1_value_ns,delta_ns,percent_diff
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,2.965517,0.78584,0.780815,-0.005025,-0.6395
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,3.931034,0.908572,0.904421,-0.004152,-0.457
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,4.896552,1.031305,1.028026,-0.003278,-0.3179
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,5.862069,1.154037,1.151632,-0.002405,-0.2084
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,6.0,1.17157,1.16929,-0.00228,-0.1946
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,6.827586,1.265166,1.2632,-0.001966,-0.1554
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,7.793103,1.374361,1.372762,-0.001599,-0.1163
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,8.758621,1.483556,1.482324,-0.001232,-0.083
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,9.724138,1.592751,1.591887,-0.000865,-0.0543
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,10.689655,1.701947,1.701449,-0.000498,-0.0293
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,11.655172,1.811142,1.811011,-0.000131,-0.0072
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,12.0,1.85014,1.85014,0.0,0.0
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,12.62069,1.920824,1.920573,-0.000251,-0.0131
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,13.586207,2.030777,2.030135,-0.000642,-0.0316
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,14.0,2.0779,2.07709,-0.00081,-0.039
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,14.551724,2.14073,2.139581,-0.001149,-0.0537
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,15.517241,2.250683,2.24894,-0.001743,-0.0774
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,16.482759,2.360637,2.3583,-0.002337,-0.099
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,17.448276,2.47059,2.467659,-0.002931,-0.1186
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,18.0,2.53342,2.53015,-0.00327,-0.1291
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,18.413793,2.581274,2.577839,-0.003435,-0.1331
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,19.37931,2.692934,2.689113,-0.003821,-0.1419
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,20.344828,2.804595,2.800387,-0.004207,-0.15
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,21.310345,2.916255,2.911662,-0.004593,-0.1575
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,22.275862,3.027915,3.022936,-0.004979,-0.1644
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,23.241379,3.139575,3.13421,-0.005365,-0.1709
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,24.0,3.227308,3.22164,-0.005668,-0.1756
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,24.206897,3.251235,3.245747,-0.005488,-0.1688
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,25.172414,3.362895,3.358248,-0.004648,-0.1382
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,26.137931,3.474555,3.470748,-0.003807,-0.1096
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,27.103448,3.586216,3.583249,-0.002967,-0.0827
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,28.0,3.6899,3.687713,-0.002187,-0.0593
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,28.068966,3.698016,3.695749,-0.002267,-0.0613
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,29.034483,3.811647,3.80825,-0.003397,-0.0891
sg13g2_IOPadOut30mA,c2p->pad,slew,rise,0.1,30.0,3.925277,3.92075,-0.004527,-0.1153
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,2.0,1.00795,0.998533,-0.009417,-0.9343
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,2.965517,1.083581,1.074931,-0.00865,-0.7983
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,3.931034,1.159213,1.151329,-0.007883,-0.6801
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,4.896552,1.234844,1.227728,-0.007116,-0.5763
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,5.862069,1.310476,1.304126,-0.00635,-0.4845
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,6.0,1.32128,1.31504,-0.00624,-0.4723
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,6.827586,1.393113,1.38829,-0.004823,-0.3462
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,7.793103,1.476918,1.473748,-0.003171,-0.2147
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,8.758621,1.560724,1.559206,-0.001518,-0.0973
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,9.724138,1.644529,1.644663,0.000134,0.0082
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,10.689655,1.728334,1.730121,0.001787,0.1034
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,11.655172,1.81214,1.815579,0.00344,0.1898
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,12.0,1.84207,1.8461,0.00403,0.2188
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,12.62069,1.90174,1.901037,-0.000703,-0.037
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,13.586207,1.99456,1.986495,-0.008065,-0.4043
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,14.0,2.03434,2.02312,-0.01122,-0.5515
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,14.551724,2.08738,2.077069,-0.010311,-0.494
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,15.517241,2.1802,2.17148,-0.00872,-0.4
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,16.482759,2.27302,2.26589,-0.00713,-0.3137
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,17.448276,2.36584,2.360301,-0.005539,-0.2341
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,18.0,2.41888,2.41425,-0.00463,-0.1914
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,18.413793,2.461036,2.456017,-0.005019,-0.2039
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,19.37931,2.559399,2.553473,-0.005926,-0.2315
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,20.344828,2.657762,2.650929,-0.006833,-0.2571
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,21.310345,2.756125,2.748385,-0.00774,-0.2808
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,22.275862,2.854488,2.845841,-0.008646,-0.3029
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,23.241379,2.952851,2.943297,-0.009553,-0.3235
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,24.0,3.030136,3.01987,-0.010266,-0.3388
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,24.206897,3.051214,3.041346,-0.009868,-0.3234
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,25.172414,3.149577,3.141569,-0.008008,-0.2543
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,26.137931,3.24794,3.241791,-0.006149,-0.1893
